<wavelength [nm]>,<Efficiency>
930.7978322,13.85428907
953.6036621,29.61222092
962.1896393,39.23619271
970.7344593,51.18683901
980.9106056,60.91656874
987.1534221,68.00235018
1004.521809,76.14571093
1049.097053,76.25146886
1093.670426,76.46298472
1146.203998,76.67450059
1192.382506,76.14571093
1215.489532,74.87661575
1272.799224,75.08813161
1319.740078,76.46298472
1355.555361,76.78025852
1384.993131,77.62632197
1423.181507,78.78965922
1458.985566,79.74148061
1499.571356,80.3760282
1537.810244,78.68390129
1564.112575,76.78025852
1588.021233,75.19388954
1619.107167,72.86721504
1641.43314,70.7520564
1659.048471,64.93537015
1666.324897,58.58989424
1671.187073,53.72502938
1675.260712,48.43713278
1681.729893,42.72620447
1691.405604,35.74618096
1695.477372,30.5640423
